Task: COOK
Analysis: Action Selection Rates
================================================================================

1. place_on_cutting_board_my_later_to_cut: 1/1 (100.00%)
2. pick_from_cutting_board_my_later_ready: 1/1 (100.00%)
3. pick_from_cutting_board_my_next_ready: 9/9 (100.00%)
4. place_on_plate: 16/16 (100.00%)
5. pick_from_private_region_my_next: 9/9 (100.00%)
6. place_on_cutting_board_opp_later_ready: 2/2 (100.00%)
7. place_on_cutting_board_opp_later_to_cut: 1/1 (100.00%)
8. cut: 3/4 (75.00%)
9. place_in_private_region_my_later: 2/3 (66.67%)
10. place_on_cutting_board_opp_next_ready: 6/10 (60.00%)
11. place_in_private_region_opp_next: 6/12 (50.00%)
12. pick_from_private_region_opp_next: 8/23 (34.78%)
13. pick_from_private_region_opp_later: 5/18 (27.78%)
14. wait: 27/100 (27.00%)
15. pick_from_cutting_board_opp_next_ready: 2/11 (18.18%)
16. pick_from_private_region_my_later: 2/26 (7.69%)
17. pick_from_cutting_board_my_later_to_cut: 0/1 (0.00%)
18. place_on_cutting_board_my_later_ready: 0/2 (0.00%)
19. place_on_cutting_board_my_next_ready: 0/15 (0.00%)
20. place_in_private_region_my_next: 0/15 (0.00%)
21. pick_from_cutting_board_opp_later_to_cut: 0/1 (0.00%)
22. place_in_private_region_opp_later: 0/3 (0.00%)
23. pick_from_cutting_board_my_next_to_cut: 0/1 (0.00%)
24. pick_from_cutting_board_opp_next_to_cut: 0/1 (0.00%)

