Task: GAME
Analysis: Action Selection Rates
================================================================================

1. place_in_puzzle_A: 8/8 (100.00%)
2. pick_from_left_border_B: 8/8 (100.00%)
3. pick_from_left_border_A: 22/26 (84.62%)
4. pick_from_right_border_B: 2/3 (66.67%)
5. place_on_right_border_A: 20/35 (57.14%)
6. pick_from_right_border_A: 12/26 (46.15%)
7. pick_from_private_region_A: 7/18 (38.89%)
8. pick_from_private_region_B: 6/16 (37.50%)
9. wait: 38/140 (27.14%)
10. place_on_left_border_A: 9/40 (22.50%)
11. place_in_private_region_A: 8/37 (21.62%)

